Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
 section check                                                   value                                  target                                     ok  
 5.3     GPA ~ sleep: p                                          0.000                                  p < .05                                    TRUE
 5.3     GPA model R-squared                                     0.252                                  about 0.25                                 TRUE
 5.3     confounding: caffeine alone (coef < 0, p)               0.000                                  negative, p < .05                          TRUE
 5.3     confounding: caffeine with sleep (p)                    0.514                                  no effect (p > .05)                        TRUE
 5.3     diminishing returns: study^2 (coef < 0, p)              0.000                                  negative, p < .05                          TRUE
 5.3     interaction: support x PhD (coef > 0, p)                0.000                                  support matters more for PhD               TRUE
 5.4     Cronbach's alpha: stress                                0.876                                  0.86-0.89                                  TRUE
 5.4     Cronbach's alpha: burnout                               0.880                                  0.86-0.89                                  TRUE
 5.4     Cronbach's alpha: support                               0.890                                  0.86-0.89                                  TRUE
 5.4     Cronbach's alpha: satisfaction                          0.859                                  0.86-0.89                                  TRUE
 5.4     four factors match the four scales                      burnout, satisfaction, stress, support stress, burnout, support, satisfaction     TRUE
 5.4     items loading on their own scale                        22.000                                 21-22 of 22                                TRUE
 5.4     stress_4 loads negatively (before reversing)            -0.503                                 negative                                   TRUE
 5.4     burnout_3 cross-loads on stress                         0.325                                  > 0.2                                      TRUE
 5.5     k-means (4 clusters) agreement with true profiles (ARI) 0.512                                  clear but overlapping profiles             TRUE
 5.6     ICC of wellbeing within supervisors                     0.125                                  about 0.10                                 TRUE
 5.6     average change per semester (not invited)               -0.139                                 slight decline                             TRUE
 5.6     workshop gap by semester (1, 2, 3, 4)                   0.4, 5.2, 4, 2.5                       about 0, +5, +4, +3 (fading)               TRUE
 5.6     students differ in their slopes (SD)                    0.960                                  random slopes present                      TRUE
 5.6     mean supervisor meetings per semester                   4.212                                  a count outcome                            TRUE
 5.7     share considering dropout                               0.150                                  about 15%                                  TRUE
 5.7     logistic regression AUC on test data                    0.785                                  about 0.78                                 TRUE
 5.7     odds ratio: stress score                                2.129                                  > 1                                        TRUE
 5.7     odds ratio: support score                               0.317                                  < 1                                        TRUE
 5.7     odds ratio: financial worry                             1.591                                  > 1                                        TRUE
 5.8     share leaving after year 1                              0.062                                  about 6%                                   TRUE
 5.8     leaving: considered dropout vs not                      0.24 vs 0.03                           much more common after considering dropout TRUE
 5.8     missing questionnaire answers                           0.018                                  about 2%                                   TRUE
 5.8     missing financial worry                                 0.063                                  about 5%                                   TRUE
 5.9     raw file rows x columns                                 615 x 64                               615 rows                                   TRUE
 5.9     duplicate rows (ignoring Response ID)                   12.000                                 12                                         TRUE
 5.9     test responses                                          3.000                                  3                                          TRUE
 5.9     gender spellings                                        7.000                                  inconsistent                               TRUE
 5.9     impossible age present                                  TRUE                                   age 250                                    TRUE
 5.9     sleep stored as text (e.g. '7 hrs', '6,5')              348.000                                many                                       TRUE
 5.9     SPSS file has value labels                              TRUE                                   labels present                             TRUE
 5.10    yearly mean visits                                      30.7, 33.5, 34.6, 37, 37.6             upward trend                               TRUE
 5.10    pre-exam vs teaching vs summer weeks                    59 / 40 / 10                           seasonal pattern                           TRUE
 4.5     themes in the hand-coded subset                         7.000                                  7 themes                                   TRUE
 4.5     low support -> more 'Supervision' answers               0.388                                  themes follow the data                     TRUE

 72 of 72 checks passed
