"student_id","semester","gpa","sleep_hours","study_hours","exercise_days","caffeine_mg","supervisor_meetings","wellbeing"
"S0048",4,2.85,5.9,51,0,425,2,61
"S0049",1,2.86,4.2,56,1,430,4,58
"S0049",2,3.32,4.8,51,2,345,1,69
"S0049",3,2.98,4.8,49,1,305,5,54
"S0049",4,2.95,5.4,57,3,355,3,61
"S0050",1,3.49,7.8,12,0,180,6,81
"S0050",2,3.42,8.7,22,0,140,6,78
"S0050",3,3.54,9.1,16,1,130,5,75
"S0050",4,3.52,7.9,14,2,235,7,71
"S0051",1,2.99,6.8,16,0,215,4,50
"S0051",2,2.6,6.7,13,1,155,1,49
"S0051",3,2.96,6.6,17,1,205,2,48
"S0051",4,2.76,6.5,19,1,235,2,49
"S0052",1,3.74,7.3,19,5,85,4,58
"S0052",2,3.83,7.6,14,5,80,3,63
"S0052",3,3.66,7.7,15,3,110,7,55
"S0052",4,3.36,7.7,15,2,105,7,53
"S0053",1,2.51,5,45,0,160,5,43
"S0053",2,2.77,5.6,40,1,145,5,42
"S0053",3,2.92,5.6,43,1,165,3,49
"S0053",4,2.95,5.6,39,0,185,5,40
"S0054",1,2.91,6.1,46,0,370,2,60
"S0054",2,3.11,6.4,54,1,270,1,53
"S0054",3,2.96,6.2,50,0,280,0,38
"S0054",4,3,6.4,47,2,290,2,51
"S0055",1,3.04,8.6,19,2,0,2,67
"S0055",2,2.81,7.8,11,3,0,0,74
"S0055",3,3.04,7.3,15,2,0,3,62
"S0055",4,2.93,7.6,18,1,0,3,70
"S0056",1,3.23,5.9,19,2,135,3,49
"S0056",2,2.97,5.7,17,6,200,3,53
"S0056",3,2.74,5.4,6,1,210,2,44
"S0056",4,3.19,6.7,22,1,220,5,34
"S0057",1,3.22,5.3,58,2,175,3,45
"S0057",2,,4.9,52,0,145,0,49
"S0057",3,3,5.4,60,3,155,3,52
"S0057",4,3.11,5,53,2,145,8,49
"S0058",1,3.08,6.5,7,1,180,0,53
"S0058",2,2.96,7,9,,215,2,53
"S0058",3,2.92,7.3,13,3,180,5,63
"S0058",4,2.69,6.3,8,2,200,2,59
"S0059",1,3.62,7.8,19,3,140,3,68
"S0059",2,3.35,7.9,21,2,120,6,66
"S0059",3,3.28,7.9,24,1,135,3,67
"S0059",4,3.51,8,19,4,130,4,67
"S0060",1,2.76,4.9,34,0,435,1,57
"S0060",2,2.82,5.8,38,0,310,2,49
"S0061",1,3.41,7.9,28,6,160,5,60
"S0061",2,3.02,7,33,7,150,4,67
"S0061",3,2.86,6.8,24,5,100,2,60
"S0061",4,3.23,6.5,24,3,110,4,68
"S0062",1,2.78,6.6,28,1,170,0,50
"S0062",2,2.56,6.4,29,3,135,1,55
"S0062",3,2.79,6.5,30,2,190,0,61
"S0062",4,2.89,6.2,37,1,265,0,49
"S0063",1,3.4,6.1,47,2,165,3,54
"S0063",2,3.43,6.3,45,2,160,3,47
"S0063",3,3.57,6.4,45,2,225,0,48
"S0063",4,3.31,5.4,37,2,210,5,47
"S0064",1,2.79,6.2,23,2,180,2,51
"S0064",2,2.73,6.1,22,1,185,0,48
"S0064",3,2.76,7,21,2,140,3,43
"S0064",4,2.54,6,18,1,145,1,40
"S0065",1,3.45,7.1,20,2,85,3,57
"S0065",2,3.3,7.5,23,2,90,2,54
"S0065",3,3.62,7.6,24,2,90,1,54
"S0065",4,3.66,8,27,2,60,2,54
"S0066",1,3.34,5.5,43,0,320,3,58
"S0066",2,3.18,5.4,31,1,275,4,62
"S0066",3,3.64,5.5,32,0,295,1,56
"S0066",4,3.31,5.3,41,0,310,3,54
"S0067",1,2.76,6.9,9,2,180,3,41
"S0067",2,2.92,7.3,18,1,170,6,46
"S0067",3,2.42,5.9,13,0,175,3,36
"S0067",4,3.05,7.2,17,4,150,3,39
"S0068",1,2.9,7.1,14,1,130,3,49
"S0068",2,3.33,7.6,18,1,85,1,57
"S0068",3,2.99,6.7,20,3,135,4,50
"S0068",4,3.18,6.9,26,2,90,2,47
"S0069",1,3.14,7,16,1,190,4,56
"S0069",2,3.22,6.9,20,1,135,5,58
"S0069",3,2.57,5.7,12,2,130,9,56
"S0069",4,3.35,6.7,18,1,240,6,64
"S0070",1,3.09,7.1,19,2,85,5,52
"S0070",2,3.2,7.5,23,2,130,5,62
"S0070",3,3.22,7.9,17,0,125,4,53
"S0070",4,3.06,8.4,24,0,125,2,48
"S0071",1,3.64,7.3,29,5,225,10,87
"S0071",2,3.73,7.3,24,4,220,7,94
"S0071",3,3.19,7,15,6,210,11,85
"S0071",4,3.4,7.7,27,1,145,4,82
"S0072",1,3.49,5.6,46,1,395,2,46
"S0072",2,3.21,5.9,52,1,390,3,51
"S0072",3,3.34,6.2,54,2,395,3,41
"S0072",4,3.43,6,43,1,450,1,46
"S0073",1,3.32,6.8,15,3,130,6,74
"S0073",2,3.2,6.9,18,2,125,4,75
"S0073",3,2.78,6.1,7,1,155,6,55
"S0073",4,3.03,6.3,18,3,90,7,64
"S0074",1,2.78,7.6,35,5,120,9,60
"S0074",2,2.81,7.5,33,2,95,7,70
"S0074",3,2.52,6.9,37,4,160,5,61
"S0074",4,2.63,6.6,39,5,130,8,58
"S0075",1,3.52,6.7,30,5,210,4,61
"S0075",2,3.03,7.8,16,7,165,4,65
"S0075",3,3.57,7.5,33,3,145,3,57
"S0075",4,3.28,6.9,23,3,165,6,54
"S0076",1,3.65,5.9,35,0,200,2,62
"S0076",2,3.62,5.7,39,3,135,8,66
"S0076",3,3.41,6.7,33,1,125,6,69
"S0076",4,3.33,6.6,36,1,,2,56
"S0077",1,3.26,6.7,19,2,170,1,75
"S0077",2,3.37,6.7,18,4,160,5,65
"S0077",3,3.4,6,18,0,170,6,72
"S0077",4,3.34,7,13,3,220,4,67
"S0078",1,2.52,6.4,2,2,175,4,55
"S0078",2,2.64,6.3,4,3,175,2,54
"S0078",3,2.61,6.2,2,1,175,2,54
"S0078",4,2.77,6.1,2,6,175,5,56
"S0079",1,3.37,5.9,40,0,0,6,62
"S0079",2,3.38,5.9,46,1,0,1,58
"S0079",3,3.25,5.8,50,0,0,5,61
"S0079",4,3.54,6.1,38,4,0,0,57
"S0080",1,3.21,7.9,4,0,125,2,62
"S0080",2,2.91,7.8,6,2,95,1,65
"S0080",3,2.89,7.2,2,2,65,2,70
"S0080",4,2.64,6.6,2,3,110,4,62
"S0081",1,3.25,6.8,26,3,110,4,44
"S0081",2,3.01,6.7,19,2,100,4,44
"S0081",3,3.04,7,21,4,115,2,46
"S0081",4,2.94,7.3,30,4,110,4,50
"S0082",1,3.93,7.7,26,2,0,3,85
"S0082",2,4,7.8,27,5,0,9,71
"S0082",3,3.73,7.9,25,2,0,8,68
"S0082",4,3.69,7.7,29,4,0,6,64
"S0083",1,2.56,6,35,1,125,4,32
"S0083",2,2.51,5.8,34,1,115,2,35
"S0084",1,3.11,5.2,35,1,295,1,37
"S0084",2,2.93,5.3,40,0,205,2,52
"S0084",3,3.42,,35,1,175,3,50
"S0084",4,2.96,4.7,37,4,225,2,47
"S0085",1,3.13,6.1,28,3,120,3,37
"S0085",2,3,6.6,43,1,105,4,58
"S0085",3,2.74,5.5,45,1,125,5,49
"S0085",4,2.69,6.2,43,3,100,2,47
"S0086",1,3.27,7,27,4,175,4,63
"S0086",2,3.2,6.5,22,7,125,5,60
"S0086",3,2.9,6.1,21,4,105,3,60
"S0086",4,3.47,6,29,4,160,2,54
"S0087",1,3.04,7.1,27,1,100,0,52
"S0087",2,2.98,6.1,21,2,125,4,46
"S0087",3,2.99,6.2,26,1,130,2,53
"S0087",4,2.93,6.8,20,2,175,3,53
"S0088",1,3.53,7.4,16,0,110,2,65
"S0088",2,3.37,7.7,11,2,125,0,61
"S0088",3,3.54,7.5,13,3,105,2,70
"S0088",4,3.34,7,17,1,120,1,59
"S0089",1,2.7,6.6,22,4,85,1,60
"S0089",2,2.59,6.1,34,3,150,4,70
"S0089",3,2.82,5.8,36,1,145,7,62
"S0089",4,2.66,5.7,29,2,130,1,66
"S0090",1,3.06,6.4,24,5,185,1,48
"S0090",2,2.94,8,29,4,100,7,60
"S0090",3,3.34,7.7,27,4,95,5,57
"S0090",4,2.98,6.7,26,3,105,1,52
"S0091",1,3.15,5.7,47,2,250,0,72
"S0091",2,3.24,5.1,41,0,245,3,77
"S0091",3,3.44,5.2,51,0,240,2,73
"S0091",4,3.45,5.5,37,1,250,4,79
"S0092",1,3.42,6.5,17,2,245,6,70
"S0092",2,2.94,6.5,10,7,150,3,77
"S0092",3,3.16,7,18,7,195,1,78
"S0092",4,2.62,6.8,4,6,130,3,74
"S0093",1,3.54,7,24,7,190,10,81
"S0093",2,3.55,6.5,23,5,185,9,86
"S0093",3,3.46,6.6,29,3,255,7,65
"S0093",4,3.31,6.8,24,4,205,4,72
"S0094",1,2.7,6.8,23,6,185,3,37
"S0094",2,2.72,6.9,25,3,220,5,45
"S0094",3,3.26,8.1,30,5,185,1,40
"S0094",4,2.83,7,36,6,225,2,39
"S0095",1,3.25,6.5,24,4,220,4,66
"S0095",2,3.43,6.2,26,5,320,6,78
"S0095",3,3.44,6.7,29,5,350,1,77
"S0095",4,3.39,7.4,30,2,335,5,81
"S0096",1,3.24,5.2,38,0,215,7,58
"S0096",2,3.1,6.2,43,4,140,7,69
"S0096",3,3.01,5.3,41,0,190,15,64
"S0096",4,2.87,5.4,31,0,220,12,54
"S0097",1,2.6,7.1,30,2,125,3,72
"S0097",2,2.79,7.5,30,2,105,6,73
"S0097",3,3.06,7.9,25,3,85,8,68
"S0097",4,3.18,7.5,34,4,135,8,68
"S0098",1,2.6,7.3,8,0,195,7,70
"S0098",2,2.91,7.4,9,1,180,1,81
"S0098",3,3.25,7.2,15,1,255,5,66
"S0098",4,3.07,7.4,16,2,245,4,62
"S0099",1,2.86,6,,0,395,6,78
"S0099",2,3.44,6.6,21,2,385,5,74
"S0099",3,3.25,6.4,23,2,405,7,82
"S0099",4,3.08,5.6,18,,470,8,74
"S0100",1,3.4,5.1,43,0,250,2,50
"S0100",2,3.33,5.8,33,3,195,1,53
"S0100",3,3.53,5.5,45,2,175,6,56
"S0100",4,3.25,5.6,39,1,160,4,48
"S0101",1,3.61,6,37,5,90,11,51
"S0101",2,3.07,6,42,2,90,8,47
"S0101",3,3.33,5.4,45,1,75,14,32
"S0101",4,3.12,5.6,31,1,115,10,39
"S0102",1,2.57,6.3,27,1,275,1,57
"S0102",2,2.61,7.1,27,3,190,1,69
"S0103",1,2.74,8.1,16,6,60,7,57
"S0103",2,2.62,6.5,14,2,95,3,68
"S0103",3,3.18,7.5,21,4,75,6,68
"S0103",4,2.73,7.7,10,3,55,6,62
"S0104",1,2.62,6.2,27,2,455,4,55
"S0104",2,2.12,5.8,30,2,590,4,53
"S0105",1,2.93,3.5,58,1,740,5,52
"S0105",2,2.93,3.9,60,0,765,10,60
"S0105",3,2.75,3.5,62,1,685,7,54
"S0105",4,2.85,3.5,62,0,900,11,53
"S0106",1,2.66,4,34,2,280,4,49
"S0106",2,3.08,5.3,40,0,250,0,52
"S0106",3,2.6,4.6,40,2,340,1,47
"S0106",4,2.91,5,44,2,195,3,47
"S0107",1,2.44,7.3,5,0,110,2,56
"S0107",2,2.84,7.7,6,1,130,5,56
"S0107",3,3.24,7.4,10,3,160,2,65
"S0107",4,2.79,7,11,3,120,7,56
"S0108",1,3.63,6.2,30,4,120,4,77
"S0108",2,3.3,6.2,32,1,100,8,73
"S0108",3,2.91,6.3,28,3,145,7,73
"S0108",4,3.45,6.8,34,6,150,5,77
"S0109",1,3.51,7.1,52,0,0,5,75
"S0109",2,3.74,7.7,52,1,0,3,75
"S0109",3,3.61,7,46,0,0,6,76
"S0109",4,3.52,6.8,44,0,0,10,67
"S0110",1,3.09,5.8,24,0,65,0,62
"S0110",2,3.03,6.2,16,4,50,1,73
"S0110",3,3.36,6.1,26,1,65,3,67
"S0110",4,3.35,7.2,13,4,45,1,68
"S0111",1,3.53,6.2,46,2,95,1,56
"S0111",2,3.73,6.6,44,0,85,4,56
"S0111",3,3.26,6.2,39,6,90,6,63
"S0111",4,3.69,7.1,50,1,70,3,59
"S0112",1,3.8,6.8,38,6,150,7,81
"S0112",2,3.66,7.3,43,5,140,6,84
"S0112",3,3.78,6.4,30,7,260,8,65
"S0112",4,3.86,6.5,37,7,160,7,74
"S0113",1,3.88,7.6,25,3,0,6,54
"S0113",2,4,6.9,34,5,0,8,54
"S0113",3,4,7,35,0,0,3,57
"S0113",4,3.96,7.3,30,3,0,8,57
"S0114",1,3.23,5.2,45,0,370,1,53
"S0114",2,3.12,4.9,47,0,380,4,62
"S0114",3,3.22,4.8,43,0,285,1,57
"S0114",4,2.82,4.9,41,0,405,2,56
"S0115",1,3.64,6.6,26,1,130,0,78
"S0115",2,3.58,6.8,22,1,220,3,71
"S0115",3,3.62,7,21,2,185,1,79
"S0115",4,3.7,6.8,17,2,150,1,72
"S0116",1,3.67,8,23,2,230,4,82
"S0116",2,3.5,7.9,,2,170,7,85
"S0116",3,3.45,7.1,26,3,235,4,87
"S0116",4,3.66,7.9,23,7,155,5,78
"S0117",1,3.41,6,44,1,205,2,71
"S0117",2,3.54,6,46,1,220,1,68
"S0117",3,3.19,6.2,51,0,275,3,67
"S0117",4,3.52,6.3,41,1,200,2,66
"S0118",1,3.06,7.1,13,3,0,1,45
"S0118",2,2.82,7.1,17,4,0,0,54
"S0118",3,2.87,7.2,10,1,0,1,56
"S0118",4,2.72,7.2,13,6,0,1,55
"S0119",1,3.18,6.3,40,5,140,4,64
"S0119",2,3.31,6.9,42,5,160,2,65
"S0119",3,3.62,6,38,1,130,0,62
"S0119",4,3.34,5.8,36,5,265,0,56
"S0120",1,2.46,6.3,35,2,80,5,64
"S0120",2,2.71,6,34,0,90,2,64
"S0120",3,2.37,5.3,28,1,155,6,59
"S0120",4,2.74,4.8,35,1,125,4,55
"S0121",1,2.39,7.3,4,4,150,2,58
"S0121",2,2.6,6.6,2,3,280,3,63
"S0121",3,2.76,7.5,6,1,165,2,63
"S0121",4,2.78,,5,2,160,1,72
"S0122",1,2.83,5.9,41,1,110,3,77
"S0122",2,2.99,6.5,41,1,135,3,88
"S0122",3,2.98,5.3,47,1,95,5,70
"S0122",4,3.1,6.1,45,0,120,3,75
"S0123",1,2.99,6.9,17,2,140,0,50
"S0123",2,3.17,7.1,21,1,205,3,64
"S0123",3,3.55,7.7,15,1,120,1,56
"S0123",4,2.66,6.5,20,1,195,6,45
"S0124",1,2.75,4,46,4,845,1,58
"S0124",2,2.66,4.3,46,3,510,6,59
"S0124",3,2.54,5.2,45,1,470,2,63
"S0124",4,2.5,4.7,46,2,545,5,53
"S0125",1,2.73,6.6,15,0,195,5,67
"S0125",2,2.68,7.3,11,1,155,5,79
"S0125",3,2.88,7.2,15,1,160,2,74
"S0125",4,2.8,7.1,16,0,170,2,69
"S0126",1,2.93,4.7,48,2,275,4,59
"S0126",2,2.37,4.6,39,1,345,6,55
"S0126",3,2.79,4.5,40,0,230,2,57
"S0126",4,2.86,4.8,44,1,315,7,57
"S0127",1,2.63,5.1,31,2,495,2,58
"S0127",2,3.1,5.7,29,3,435,2,66
"S0127",3,2.93,6.3,35,1,365,1,67
"S0127",4,2.81,5.6,27,1,360,2,61
"S0128",1,3.47,6.2,20,7,85,3,57
"S0128",2,3.05,5.8,29,7,185,4,65
"S0128",3,3.02,6.7,18,6,110,5,66
"S0128",4,2.91,,23,7,95,5,67
"S0129",1,2.85,6.8,21,2,0,1,65
"S0129",2,3.07,6.7,29,3,0,1,67
"S0129",3,3.1,6.9,30,1,0,1,66
"S0129",4,2.85,7.6,31,3,0,4,58
"S0130",1,3.72,7.6,20,2,75,2,62
"S0130",2,3.94,8.2,24,2,85,3,65
"S0130",3,3.74,7.6,22,6,105,2,65
"S0130",4,3.75,8.2,17,1,95,7,61
"S0131",1,2.2,7.3,18,2,120,4,60
"S0131",2,2.43,6.7,22,0,130,5,60
"S0131",3,2.61,7,21,0,125,4,52
"S0131",4,2.11,6.4,22,3,120,2,57
"S0132",1,3.13,8.3,21,5,135,3,71
"S0132",2,3.47,8.1,18,5,140,11,85
"S0132",3,3.3,8.2,24,0,105,3,85
"S0132",4,3.09,7.7,24,1,205,3,73
"S0133",1,3.22,5,49,1,515,3,65
"S0133",2,2.95,5.6,42,1,295,2,57
"S0133",3,3.11,5.1,38,1,420,4,64
"S0133",4,3.05,5.7,36,0,410,3,66
"S0134",1,3.05,6.5,38,3,120,4,75
"S0134",2,3.05,6.2,36,2,140,0,68
"S0134",3,2.61,7,32,4,105,5,67
"S0134",4,2.96,6.1,39,2,,5,57
"S0135",1,3.55,7.3,27,1,135,6,86
"S0135",2,3.23,7.6,41,2,95,6,90
"S0135",3,3.29,7.9,30,5,100,3,82
"S0135",4,3,7.1,31,4,125,4,78
"S0136",1,2.92,7.5,31,5,0,6,76
"S0136",2,2.83,6.2,30,3,0,4,68
"S0136",3,3.02,6.8,31,7,0,3,69
"S0136",4,3.05,7.5,28,3,,8,69
"S0137",1,2.49,,34,2,460,4,40
"S0137",2,3.03,5.8,38,2,340,4,45
"S0138",1,3.08,7.5,13,4,0,15,55
"S0138",2,2.84,6.5,11,3,0,8,49
"S0138",3,2.7,7,8,5,0,7,61
"S0138",4,2.71,7.3,12,5,,8,64
"S0139",1,3.25,5.8,39,2,145,4,54
"S0139",2,3.59,5.8,37,0,160,0,46
"S0139",3,3.28,6.1,44,0,115,0,53
"S0139",4,3.76,6.1,42,2,110,2,56
"S0140",1,3.22,7.3,23,2,155,5,73
"S0140",2,3.26,6.9,29,3,215,2,65
"S0140",3,2.84,6.4,26,5,220,5,66
"S0140",4,2.88,6.8,23,4,155,4,61
"S0141",1,3.22,3.8,46,0,350,3,53
"S0141",2,2.77,3.5,45,2,275,3,64
"S0141",3,3.16,4.8,,0,245,0,60
"S0141",4,2.71,4.2,47,1,290,3,47
"S0142",1,2.95,6.3,57,0,305,8,48
"S0142",2,2.78,5.3,45,5,360,4,54
"S0142",3,2.57,5.6,58,1,230,3,56
"S0142",4,2.83,6.6,46,0,400,4,49
"S0143",1,3.19,6,34,1,200,6,46
"S0143",2,3.58,6.7,34,2,200,2,50
"S0143",3,3.26,6.3,40,1,260,8,57
"S0143",4,3.44,6.1,38,3,305,1,62
"S0144",1,3.2,6.9,29,5,145,1,66
"S0144",2,3.01,6.8,28,6,190,3,61
"S0144",3,3.05,6.2,29,5,230,5,61
"S0144",4,3.22,6.5,26,6,270,6,65
"S0145",1,3.17,7.5,18,7,205,8,68
"S0145",2,3.17,7.6,20,7,355,6,72
"S0145",3,3.5,6.7,23,1,285,2,72
"S0145",4,3,6.7,19,4,310,4,62
"S0146",1,3.51,7.9,24,7,175,4,71
