"student_id","supervisor_id","age","gender","faculty","programme","study_mode","employment","has_children","lives_away","financial_worry","workshop","workshop_sessions","considering_dropout"
"S0128","SUP075",26,"Female","Health Sciences","Master's","Full-time","Part-time job","Yes","Yes",3,"Invited",4,"No"
"S0129","SUP088",30,"Male","Health Sciences","PhD","Full-time","None","No","Yes",4,"Invited",0,"No"
"S0130","SUP009",27,"Female","Education","Master's","Part-time","Full-time job","No","Yes",2,"Not invited",0,"No"
"S0131","SUP112",32,"Female","Health Sciences","Master's","Full-time","None","No","Yes",5,"Invited",5,"Yes"
"S0132","SUP116",29,"Male","Education","Master's","Full-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0133","SUP067",25,"Female","Humanities","Master's","Part-time","None","No","Yes",1,"Not invited",0,"No"
"S0134","SUP083",28,"Female","Natural Sciences","PhD","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0135","SUP046",25,"Male","Education","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0136","SUP026",30,"Female","Humanities","PhD","Part-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0137","SUP013",24,"Female","Social Sciences","Master's","Full-time","Part-time job","No","Yes",,"Invited",0,"Yes"
"S0138","SUP016",38,"Male","Humanities","PhD","Part-time","None","Yes","Yes",1,"Not invited",0,"No"
"S0139","SUP046",26,"Female","Education","Master's","Part-time","Full-time job","Yes","No",3,"Invited",3,"No"
"S0140","SUP028",43,"Male","Humanities","PhD","Full-time","None","Yes","Yes",4,"Not invited",0,"No"
"S0141","SUP082",44,"Female","Education","Master's","Full-time","None","Yes","Yes",2,"Invited",5,"No"
"S0142","SUP112",25,"Male","Health Sciences","Master's","Full-time","None","No","Yes",4,"Invited",5,"Yes"
"S0143","SUP030",27,"Female","Humanities","Master's","Full-time","None","No","No",2,"Invited",0,"No"
"S0144","SUP071",25,"Male","Natural Sciences","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0145","SUP030",26,"Male","Humanities","Master's","Full-time","None","No","No",2,"Invited",6,"No"
"S0146","SUP064",28,"Female","Education","Master's","Full-time","None","No","No",1,"Invited",6,"No"
"S0147","SUP100",30,"Female","Health Sciences","Master's","Part-time","None","No","No",4,"Invited",6,"Yes"
"S0148","SUP063",26,"Male","Health Sciences","Master's","Part-time","None","No","Yes",2,"Not invited",0,"No"
"S0149","SUP117",34,"Male","Natural Sciences","PhD","Full-time","None","No","Yes",4,"Invited",6,"No"
"S0150","SUP077",24,"Male","Health Sciences","Master's","Full-time","Part-time job","No","Yes",1,"Invited",3,"Yes"
"S0151","SUP002",35,"Male","Education","PhD","Part-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0152","SUP038",28,"Female","Health Sciences","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0153","SUP111",26,"Male","Social Sciences","Master's","Full-time","None","Yes","Yes",,"Not invited",0,"Yes"
"S0154","SUP112",37,"Female","Health Sciences","Master's","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0155","SUP119",28,"Female","Social Sciences","PhD","Part-time","Full-time job","Yes","Yes",,"Invited",5,"No"
"S0156","SUP071",27,"Male","Natural Sciences","Master's","Full-time","None","No","No",4,"Invited",2,"No"
"S0157","SUP089",29,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Invited",4,"Yes"
"S0158","SUP038",29,"Female","Health Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0159","SUP084",29,"Female","Social Sciences","PhD","Full-time","Part-time job","Yes","Yes",5,"Invited",6,"No"
"S0160","SUP089",28,"Male","Health Sciences","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0161","SUP120",26,"Female","Health Sciences","Master's","Part-time","None","No","No",5,"Invited",6,"No"
"S0162","SUP073",34,"Female","Social Sciences","Master's","Full-time","Part-time job","Yes","Yes",5,"Not invited",0,"No"
"S0163","SUP110",24,"Male","Health Sciences","Master's","Full-time","None","No","Yes",4,"Invited",6,"No"
"S0164","SUP068",25,"Female","Health Sciences","Master's","Part-time","None","Yes","Yes",2,"Not invited",0,"No"
"S0165","SUP053",33,"Female","Natural Sciences","Master's","Part-time","Part-time job","Yes","No",,"Invited",0,"No"
"S0166","SUP017",29,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",4,"Not invited",0,"No"
"S0167","SUP032",40,"Female","Natural Sciences","PhD","Part-time","None","Yes","No",5,"Invited",6,"Yes"
"S0168","SUP098",35,"Male","Health Sciences","Master's","Full-time","None","Yes","No",2,"Invited",5,"No"
"S0169","SUP110",28,"Female","Health Sciences","Master's","Full-time","None","No","Yes",1,"Not invited",0,"No"
"S0170","SUP037",39,"Male","Health Sciences","PhD","Full-time","None","Yes","Yes",3,"Invited",6,"No"
"S0171","SUP081",48,"Male","Humanities","PhD","Full-time","None","Yes","No",,"Invited",0,"No"
"S0172","SUP021",33,"Male","Health Sciences","PhD","Part-time","None","No","Yes",4,"Invited",0,"No"
"S0173","SUP078",25,"Female","Education","Master's","Full-time","Part-time job","No","Yes",4,"Invited",6,"No"
"S0174","SUP003",28,"Male","Health Sciences","Master's","Full-time","None","No","No",2,"Invited",6,"Yes"
"S0175","SUP029",31,"Female","Social Sciences","Master's","Full-time","None","No","Yes",3,"Invited",0,"No"
"S0176","SUP017",27,"Male","Health Sciences","Master's","Full-time","None","No","No",2,"Invited",2,"No"
"S0177","SUP043",26,"Female","Natural Sciences","Master's","Full-time","Part-time job","Yes","Yes",4,"Invited",5,"No"
"S0178","SUP064",39,"Male","Education","PhD","Part-time","None","Yes","No",4,"Not invited",0,"No"
"S0179","SUP065",33,"Male","Social Sciences","PhD","Full-time","None","No","No",3,"Not invited",0,"No"
"S0180","SUP056",26,"Female","Social Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0181","SUP097",27,"Female","Education","Master's","Full-time","Part-time job","No","No",2,"Invited",1,"No"
"S0182","SUP017",33,"Female","Health Sciences","PhD","Part-time","Full-time job","Yes","Yes",4,"Not invited",0,"No"
"S0183","SUP048",33,"Male","Humanities","PhD","Part-time","Full-time job","No","No",5,"Not invited",0,"No"
"S0184","SUP037",33,"Male","Health Sciences","PhD","Full-time","Part-time job","No","No",3,"Invited",3,"No"
"S0185","SUP048",26,"Male","Humanities","Master's","Full-time","None","No","Yes",3,"Invited",6,"No"
"S0186","SUP028",30,"Female","Humanities","PhD","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0187","SUP044",33,"Male","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0188","SUP005",30,"Female","Education","Master's","Full-time","Part-time job","No","No",4,"Invited",3,"No"
"S0189","SUP046",30,"Female","Education","Master's","Part-time","None","No","Yes",4,"Invited",5,"No"
"S0190","SUP061",24,"Male","Social Sciences","Master's","Full-time","Full-time job","No","No",1,"Not invited",0,"No"
"S0191","SUP049",27,"Male","Humanities","Master's","Full-time","Part-time job","Yes","No",2,"Not invited",0,"No"
"S0192","SUP069",27,"Female","Education","Master's","Part-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0193","SUP103",25,"Male","Humanities","Master's","Part-time","Part-time job","No","No",5,"Invited",6,"No"
"S0194","SUP034",33,"Male","Health Sciences","PhD","Part-time","None","No","No",5,"Invited",5,"No"
"S0195","SUP056",24,"Male","Social Sciences","Master's","Full-time","Part-time job","No","No",2,"Invited",6,"No"
"S0196","SUP088",24,"Female","Health Sciences","Master's","Full-time","Part-time job","No","No",4,"Invited",4,"No"
"S0197","SUP092",24,"Female","Education","Master's","Full-time","None","No","No",,"Invited",6,"No"
"S0198","SUP064",25,"Male","Education","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0199","SUP004",29,"Male","Education","Master's","Part-time","Full-time job","Yes","No",5,"Not invited",0,"No"
"S0200","SUP098",27,"Male","Health Sciences","Master's","Full-time","Part-time job","Yes","No",4,"Invited",3,"No"
"S0201","SUP029",29,"Male","Social Sciences","PhD","Part-time","Part-time job","Yes","Yes",3,"Invited",6,"No"
"S0202","SUP120",27,"Male","Health Sciences","Master's","Part-time","None","No","No",3,"Invited",6,"No"
"S0203","SUP025",29,"Male","Humanities","Master's","Part-time","Full-time job","Yes","Yes",4,"Invited",1,"No"
"S0204","SUP041",45,"Female","Natural Sciences","PhD","Part-time","Full-time job","Yes","Yes",1,"Not invited",0,"No"
"S0205","SUP085",27,"Female","Humanities","PhD","Full-time","None","No","No",3,"Invited",2,"No"
"S0206","SUP017",25,"Male","Health Sciences","Master's","Part-time","Full-time job","No","No",4,"Invited",6,"No"
"S0207","SUP100",25,"Male","Health Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0208","SUP051",29,"Male","Humanities","Master's","Part-time","Part-time job","No","No",3,"Invited",6,"No"
"S0209","SUP029",27,"Female","Social Sciences","Master's","Full-time","Full-time job","No","Yes",2,"Invited",1,"No"
"S0210","SUP112",38,"Male","Health Sciences","PhD","Part-time","Part-time job","No","Yes",2,"Not invited",0,"No"
"S0211","SUP071",38,"Male","Natural Sciences","PhD","Full-time","None","Yes","No",3,"Not invited",0,"Yes"
"S0212","SUP034",33,"Male","Health Sciences","PhD","Full-time","None","No","No",4,"Not invited",0,"No"
"S0213","SUP053",40,"Male","Natural Sciences","PhD","Full-time","None","Yes","No",2,"Invited",4,"No"
"S0214","SUP011",39,"Male","Education","PhD","Full-time","None","No","No",1,"Invited",5,"No"
"S0215","SUP104",36,"Male","Education","PhD","Full-time","None","Yes","No",4,"Not invited",0,"No"
"S0216","SUP094",29,"Male","Humanities","PhD","Full-time","None","Yes","No",3,"Invited",5,"No"
"S0217","SUP049",38,"Female","Humanities","PhD","Full-time","None","Yes","No",5,"Not invited",0,"No"
"S0218","SUP058",32,"Female","Social Sciences","PhD","Full-time","None","Yes","Yes",3,"Not invited",0,"No"
"S0219","SUP032",34,"Male","Natural Sciences","PhD","Part-time","Full-time job","Yes","No",4,"Invited",5,"No"
"S0220","SUP087",27,"Male","Health Sciences","PhD","Part-time","None","No","No",3,"Invited",5,"No"
"S0221","SUP078",26,"Male","Education","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0222","SUP111",35,"Female","Social Sciences","PhD","Part-time","Part-time job","Yes","No",4,"Not invited",0,"No"
"S0223","SUP021",32,"Male","Health Sciences","Master's","Part-time","None","No","No",4,"Not invited",0,"Yes"
"S0224","SUP088",24,"Female","Health Sciences","Master's","Full-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0225","SUP105",33,"Female","Social Sciences","PhD","Part-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0226","SUP014",29,"Male","Education","Master's","Full-time","None","Yes","Yes",2,"Not invited",0,"No"
"S0227","SUP098",33,"Male","Health Sciences","Master's","Full-time","None","No","No",4,"Invited",5,"No"
"S0228","SUP008",29,"Male","Social Sciences","Master's","Full-time","None","Yes","No",,"Not invited",0,"No"
"S0229","SUP062",41,"Female","Education","PhD","Part-time","None","No","No",5,"Not invited",0,"Yes"
"S0230","SUP046",24,"Male","Education","Master's","Full-time","Part-time job","No","Yes",4,"Invited",4,"No"
"S0231","SUP058",27,"Female","Social Sciences","Master's","Part-time","Part-time job","Yes","Yes",5,"Not invited",0,"No"
"S0232","SUP063",39,"Male","Health Sciences","PhD","Part-time","Part-time job","No","No",3,"Invited",2,"No"
"S0233","SUP078",32,"Male","Education","PhD","Full-time","None","No","Yes",4,"Invited",6,"No"
"S0234","SUP069",31,"Male","Education","Master's","Full-time","None","Yes","Yes",5,"Invited",5,"No"
"S0235","SUP083",33,"Male","Natural Sciences","Master's","Part-time","Full-time job","Yes","Yes",3,"Invited",4,"No"
"S0236","SUP089",27,"Female","Health Sciences","Master's","Full-time","Part-time job","No","Yes",1,"Not invited",0,"No"
"S0237","SUP079",27,"Male","Social Sciences","Master's","Part-time","Full-time job","No","No",2,"Invited",6,"Yes"
"S0238","SUP091",24,"Female","Education","Master's","Part-time","Part-time job","No","No",2,"Not invited",0,"Yes"
"S0239","SUP062",28,"Female","Education","Master's","Full-time","None","No","Yes",1,"Invited",5,"No"
"S0240","SUP040",29,"Female","Education","Master's","Full-time","None","Yes","Yes",5,"Not invited",0,"Yes"
"S0241","SUP048",33,"Male","Humanities","Master's","Part-time","Full-time job","Yes","Yes",5,"Not invited",0,"Yes"
"S0242","SUP079",26,"Female","Social Sciences","Master's","Full-time","None","No","No",4,"Invited",6,"No"
"S0243","SUP109",24,"Female","Social Sciences","Master's","Part-time","Part-time job","No","No",2,"Invited",3,"No"
"S0244","SUP063",28,"Female","Health Sciences","PhD","Part-time","Full-time job","No","No",2,"Invited",0,"No"
"S0245","SUP091",25,"Male","Education","Master's","Full-time","Part-time job","No","No",3,"Invited",6,"No"
"S0246","SUP105",29,"Male","Social Sciences","PhD","Full-time","None","No","No",2,"Not invited",0,"No"
"S0247","SUP021",25,"Male","Health Sciences","Master's","Full-time","None","No","Yes",4,"Invited",3,"No"
"S0248","SUP021",25,"Female","Health Sciences","Master's","Part-time","Full-time job","No","No",1,"Invited",6,"No"
"S0249","SUP030",26,"Female","Humanities","Master's","Full-time","None","Yes","Yes",3,"Not invited",0,"No"
"S0250","SUP029",31,"Female","Social Sciences","Master's","Full-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0251","SUP013",28,"Male","Social Sciences","Master's","Part-time","Part-time job","No","Yes",2,"Invited",6,"No"
"S0252","SUP097",31,"Male","Education","Master's","Full-time","None","Yes","No",,"Not invited",0,"No"
"S0253","SUP036",27,"Female","Education","Master's","Full-time","Full-time job","No","No",1,"Invited",5,"No"
"S0254","SUP023",31,"Male","Social Sciences","Master's","Full-time","None","Yes","Yes",2,"Not invited",0,"No"
"S0255","SUP079",24,"Male","Social Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0256","SUP064",28,"Male","Education","Master's","Full-time","Part-time job","No","Yes",2,"Not invited",0,"No"
"S0257","SUP096",26,"Male","Social Sciences","Master's","Full-time","Part-time job","No","Yes",4,"Invited",2,"Yes"
