"student_id","stress_1","stress_2","stress_3","stress_4","stress_5","stress_6","burnout_1","burnout_2","burnout_3","burnout_4","burnout_5","burnout_6","support_1","support_2","support_3","support_4","support_5","support_6","satisfaction_1","satisfaction_2","satisfaction_3","satisfaction_4"
"S0020",3,3,5,4,3,4,,4,3,4,3,3,4,,5,4,5,4,3,4,3,4
"S0021",3,1,2,3,3,3,4,4,2,3,3,3,3,2,3,3,2,,3,2,2,3
"S0022",5,3,4,2,3,4,3,4,3,5,5,4,4,3,3,2,3,4,3,3,4,4
"S0023",2,3,2,3,4,2,1,2,3,2,3,1,4,3,4,4,3,4,3,5,4,5
"S0024",2,4,3,3,3,3,2,4,2,3,3,2,4,4,5,4,4,4,4,2,2,3
"S0025",3,2,3,2,3,3,3,2,2,4,4,3,3,2,4,3,3,4,3,2,3,2
"S0026",4,4,4,3,4,4,3,2,3,3,3,4,4,3,3,2,3,3,2,3,2,2
"S0027",4,4,3,2,5,3,3,2,3,5,5,5,3,3,4,2,2,3,2,2,2,2
"S0028",4,2,4,,3,4,3,4,3,3,4,3,4,4,3,3,4,4,3,3,3,3
"S0029",4,3,4,3,4,4,4,3,2,3,3,5,1,1,4,3,2,2,1,2,2,4
"S0030",1,2,3,3,3,2,1,3,2,4,3,3,3,3,3,4,2,3,4,4,3,5
"S0031",5,4,5,2,4,4,3,5,4,4,4,4,2,2,3,,1,2,1,2,2,3
"S0032",,3,3,3,2,3,2,1,1,2,3,2,4,4,5,3,4,3,4,3,3,4
"S0033",4,3,4,3,3,4,4,4,,4,4,4,4,5,4,4,4,4,1,2,3,3
"S0034",3,1,4,4,2,3,2,1,1,3,3,2,3,4,3,3,2,4,3,4,3,4
"S0035",5,4,4,2,4,4,4,4,5,4,4,4,3,5,5,4,3,4,3,2,4,4
"S0036",3,2,4,3,3,2,,3,4,4,4,4,3,3,2,3,2,4,3,4,3,4
"S0037",3,2,5,2,5,3,3,5,3,4,3,2,3,3,2,3,2,3,4,4,5,5
"S0038",4,5,5,2,5,5,3,4,5,3,5,5,2,2,2,3,1,1,3,3,2,2
"S0039",3,2,2,4,2,3,1,2,2,4,1,3,4,3,,3,3,4,5,4,4,4
"S0040",5,4,4,1,5,4,5,5,4,4,4,5,3,3,2,5,,1,3,2,4,2
"S0041",3,3,2,3,3,2,1,1,2,1,3,1,3,2,4,3,3,2,3,3,2,2
"S0042",5,3,4,2,3,3,2,2,5,4,4,4,1,2,3,3,2,2,2,2,2,3
"S0043",3,2,3,3,4,3,1,2,1,1,3,2,4,4,5,5,3,5,3,3,4,3
"S0044",3,3,2,4,3,4,2,3,3,3,2,3,4,4,4,3,4,4,5,4,3,4
"S0045",4,3,3,3,4,4,3,3,4,3,3,4,3,3,3,4,3,4,2,2,3,3
"S0046",3,4,3,3,4,2,4,3,3,4,4,2,2,2,1,3,3,3,4,4,5,4
"S0047",4,3,4,3,4,4,2,4,3,4,3,3,2,3,2,4,2,,2,3,1,1
"S0048",4,4,4,1,5,5,4,2,3,2,3,4,4,4,4,4,4,4,3,3,3,2
"S0049",2,3,,2,3,3,3,5,2,4,5,2,3,3,3,3,3,4,3,4,3,
"S0050",1,2,2,3,2,3,2,3,2,2,2,1,4,4,5,,5,5,5,5,5,4
"S0051",5,4,3,3,3,3,3,5,3,5,4,5,3,3,3,3,3,5,2,3,2,1
"S0052",3,2,2,3,2,2,3,2,2,3,5,2,4,,4,3,3,4,3,4,3,2
"S0053",4,4,5,2,5,4,4,3,4,4,5,3,3,3,3,3,2,2,4,2,3,4
"S0054",4,4,4,2,4,5,3,3,3,4,4,4,2,2,3,3,3,3,,3,3,2
"S0055",,4,3,3,3,4,2,2,1,3,3,2,2,3,3,3,3,2,3,1,2,2
"S0056",2,3,5,4,5,2,3,3,3,,4,3,2,3,2,2,1,2,3,3,3,4
"S0057",4,3,3,2,4,3,3,4,2,4,4,4,2,3,5,2,2,2,3,4,4,3
"S0058",4,2,3,1,4,4,3,4,3,4,3,4,2,3,4,1,3,3,4,2,3,1
"S0059",2,3,4,3,3,3,2,3,3,4,3,3,4,3,4,3,1,2,2,4,4,4
"S0060",4,5,4,3,4,3,4,5,4,5,4,5,2,3,2,3,4,2,2,3,2,1
"S0061",2,3,3,1,3,2,2,3,3,3,4,3,4,3,2,5,3,3,4,4,3,5
"S0062",4,,3,3,2,3,3,4,3,4,5,3,1,2,2,2,1,1,3,1,2,1
"S0063",3,2,3,4,3,3,3,2,3,2,4,3,4,4,5,5,2,3,3,2,2,3
"S0064",4,3,4,3,4,4,4,4,3,3,4,3,2,3,2,2,1,2,,2,2,
"S0065",3,4,4,4,2,3,3,4,2,4,5,4,3,3,2,4,3,2,2,2,2,2
"S0066",5,4,3,2,4,5,4,5,3,4,4,4,4,2,4,2,3,,3,3,1,2
"S0067",5,3,3,3,3,,3,4,2,4,4,4,3,3,3,4,3,2,3,3,2,3
"S0068",3,4,4,3,4,1,3,4,3,3,3,3,3,1,2,3,3,3,3,3,3,3
"S0069",3,2,3,2,4,5,3,2,,5,,3,3,3,4,4,3,3,2,4,2,3
"S0070",3,2,4,4,3,2,3,3,4,3,3,2,1,3,3,3,2,2,3,3,3,3
"S0071",2,2,1,4,2,2,1,3,2,3,3,4,5,4,5,5,5,5,4,4,4,5
"S0072",4,2,4,2,,3,4,3,3,4,2,3,1,1,2,3,1,2,4,1,4,3
"S0073",2,2,3,3,2,3,4,4,2,3,3,3,3,5,5,3,3,4,3,2,2,2
"S0074",3,4,4,4,3,4,2,1,3,3,3,2,3,3,5,2,3,4,3,3,3,4
"S0075",1,1,3,5,4,3,3,3,3,3,5,3,3,5,3,5,4,2,4,5,3,3
"S0076",4,3,2,4,1,2,2,2,2,3,2,3,4,5,5,4,4,4,5,4,5,5
"S0077",2,4,3,3,2,3,4,4,2,,4,4,3,,3,2,2,3,1,3,3,3
"S0078",3,4,3,2,4,4,4,5,3,4,4,4,4,3,5,2,3,2,3,1,2,3
"S0079",3,2,5,3,5,3,4,4,2,4,3,5,3,4,4,4,4,4,2,4,3,2
"S0080",3,2,3,3,3,3,2,3,2,3,4,4,2,3,3,3,2,2,3,3,2,2
"S0081",3,3,3,3,3,3,3,2,3,3,4,3,4,5,3,3,2,4,2,4,2,4
"S0082",5,3,2,3,4,3,2,2,2,3,3,3,4,5,5,5,4,3,4,3,5,
"S0083",5,4,5,2,5,4,5,4,4,5,4,5,2,3,3,1,4,2,2,3,2,4
"S0084",5,4,5,4,4,4,2,3,4,5,5,4,3,3,4,4,2,4,2,4,3,3
"S0085",5,5,5,1,5,4,4,5,4,4,4,4,1,2,3,2,2,3,3,4,3,2
"S0086",2,2,2,3,1,4,2,3,3,2,1,,4,3,5,4,4,3,4,3,4,4
"S0087",3,3,3,2,4,3,4,5,4,5,4,4,4,3,4,3,3,2,2,1,2,2
"S0088",3,4,3,3,2,4,3,3,2,3,4,3,3,3,1,2,1,3,2,3,3,3
"S0089",4,4,5,2,5,3,3,5,3,4,4,4,3,4,2,3,3,3,3,2,3,4
"S0090",3,2,3,3,3,2,2,2,1,3,3,4,3,4,5,2,3,4,4,3,5,4
"S0091",3,3,2,4,2,4,2,3,1,3,2,2,3,4,3,3,3,4,3,4,2,3
"S0092",2,2,3,4,2,2,2,5,2,3,3,2,4,4,4,3,3,2,4,4,5,5
"S0093",2,2,2,4,2,3,1,1,2,2,1,2,4,4,3,4,3,4,5,4,4,5
"S0094",4,3,4,2,3,3,4,4,3,5,3,5,1,2,1,1,2,3,2,2,1,1
"S0095",3,3,2,4,3,3,2,3,3,3,3,1,4,5,5,4,3,3,3,4,4,4
"S0096",4,4,3,1,4,5,4,4,3,4,4,5,4,5,5,4,5,3,2,3,3,1
"S0097",3,3,4,4,3,5,2,2,2,2,4,3,,4,4,4,5,3,3,4,4,4
"S0098",3,2,2,3,2,2,2,2,1,2,3,2,4,4,3,5,5,5,2,2,2,3
"S0099",3,2,4,4,3,1,2,2,3,3,3,4,3,3,4,3,4,3,1,3,2,3
"S0100",3,3,3,2,4,3,4,3,3,5,5,5,4,4,5,5,2,4,3,2,3,3
"S0101",4,5,4,2,4,3,3,4,3,4,4,5,4,4,4,2,3,4,4,4,3,5
"S0102",3,4,2,3,4,4,3,2,3,3,2,4,2,3,2,2,2,3,1,2,2,2
"S0103",4,3,4,1,4,3,2,4,3,4,3,4,4,3,3,3,2,2,4,1,4,2
"S0104",4,3,4,3,3,3,4,4,3,4,3,3,2,3,2,1,2,2,2,3,2,3
"S0105",3,3,4,4,4,3,2,2,3,2,2,3,3,4,5,4,4,4,4,4,5,4
"S0106",4,3,4,1,3,4,3,3,3,4,5,4,2,3,2,2,3,4,3,2,,2
"S0107",3,2,3,2,3,3,3,4,3,5,3,4,3,3,3,,2,,1,4,3,3
"S0108",2,2,1,4,1,2,2,2,2,2,3,,4,5,4,4,4,4,4,3,4,4
"S0109",3,4,4,1,5,5,2,5,4,5,5,3,4,,3,4,5,5,2,3,3,5
"S0110",3,2,3,3,3,2,2,2,1,1,3,2,3,3,4,3,3,3,5,3,3,4
"S0111",4,2,4,3,2,2,3,3,3,2,3,2,3,4,4,4,2,4,3,2,3,3
"S0112",1,1,1,4,1,2,2,2,3,2,3,3,4,3,5,3,4,5,5,4,3,
"S0113",2,2,3,3,4,3,2,1,1,3,2,1,4,4,5,4,4,2,4,5,4,4
"S0114",5,4,4,1,5,,4,5,4,5,5,5,2,4,3,3,3,2,1,2,2,2
"S0115",3,3,3,4,3,2,2,2,2,4,3,2,3,3,4,,1,4,2,2,2,4
"S0116",2,2,1,4,3,1,3,2,2,3,2,2,5,5,3,5,5,5,5,4,2,5
"S0117",4,4,3,2,4,4,2,3,3,3,3,3,3,3,2,4,3,3,4,4,3,3
"S0118",4,4,5,2,4,3,4,4,5,4,4,3,2,3,3,3,2,3,2,2,2,3
"S0119",2,3,2,2,3,3,3,4,2,3,4,2,2,3,3,2,2,4,4,4,3,3
"S0120",4,4,3,1,4,5,4,4,4,4,4,4,3,3,4,4,4,2,5,3,2,4
"S0121",3,3,2,4,2,2,3,3,2,4,4,4,1,4,3,2,2,4,2,3,3,2
"S0122",2,3,3,4,3,3,2,2,2,3,2,3,3,3,3,4,4,4,4,5,4,3
"S0123",3,3,3,4,3,3,3,4,2,3,3,3,2,4,3,1,2,2,2,3,3,2
"S0124",3,3,3,4,3,3,2,3,,3,3,4,2,2,4,2,2,4,4,4,,4
"S0125",5,3,2,2,5,4,3,3,4,4,2,4,3,3,3,3,1,3,2,2,3,2
"S0126",3,2,3,3,,3,3,3,3,3,5,4,3,4,3,2,3,2,4,3,5,4
"S0127",3,3,3,3,2,3,4,4,3,4,5,4,2,3,3,4,4,3,3,4,5,4
"S0128",4,4,4,3,2,4,3,3,2,3,4,2,1,1,3,3,2,2,2,2,5,3
"S0129",5,4,2,4,3,2,4,3,3,3,4,3,3,3,3,4,3,3,4,,3,3
"S0130",3,3,4,4,3,2,2,3,2,2,4,3,4,2,3,5,4,4,4,5,4,4
"S0131",5,5,4,2,3,4,5,4,3,4,4,4,3,2,4,3,2,3,3,4,4,3
"S0132",2,3,2,3,2,2,3,3,3,3,4,4,4,5,4,5,4,4,5,5,5,5
"S0133",,3,3,2,3,4,5,4,3,4,5,5,4,4,5,4,4,4,4,5,3,4
"S0134",2,2,1,4,1,2,2,3,3,2,3,4,2,3,4,3,1,1,3,3,3,4
"S0135",4,2,2,3,3,4,3,3,3,3,3,4,4,4,4,5,3,3,3,4,4,3
"S0136",3,2,3,4,3,2,2,3,2,4,3,3,4,3,,4,3,3,2,2,,3
"S0137",5,5,5,1,5,4,5,4,5,4,4,4,3,4,4,3,4,3,3,3,4,3
"S0138",4,3,4,2,3,2,3,4,3,3,4,4,4,4,2,5,4,4,5,5,5,4
"S0139",4,4,3,3,4,4,3,4,2,4,4,5,3,3,4,3,3,3,4,3,4,3
"S0140",4,2,3,4,3,3,3,3,2,2,4,2,1,2,2,2,2,1,3,,,5
"S0141",3,2,4,3,3,3,2,2,2,3,3,3,3,4,,,4,2,3,3,3,4
"S0142",5,4,4,1,4,5,4,3,4,4,4,3,3,4,3,3,3,3,1,2,2,3
"S0143",2,2,,3,2,4,2,3,3,2,4,2,4,4,4,5,3,4,3,3,4,
"S0144",3,1,2,4,3,3,3,4,3,3,3,4,3,3,4,2,1,3,5,3,3,5
"S0145",2,2,3,,3,3,2,3,2,3,3,3,2,4,4,3,4,2,4,3,4,3
"S0146",2,2,,3,3,3,2,3,3,1,2,3,3,3,4,4,3,5,5,4,5,5
"S0147",4,3,3,2,5,5,3,2,3,4,5,4,3,4,3,2,2,3,1,1,3,2
"S0148",3,2,3,3,3,3,2,2,3,3,2,2,4,4,4,4,4,4,4,4,3,4
"S0149",5,4,4,4,4,4,2,4,4,4,4,4,4,3,4,,3,5,3,2,3,1
"S0150",5,5,5,1,4,4,4,4,4,3,4,2,1,1,1,2,1,1,3,2,2,2
"S0151",2,2,2,3,1,2,1,3,1,2,2,3,,3,4,4,2,3,5,5,5,5
"S0152",4,3,5,2,4,3,5,3,3,3,4,3,3,3,3,3,3,2,4,3,4,3
"S0153",5,4,4,2,3,5,3,3,3,4,3,3,3,2,3,2,2,1,2,3,2,3
"S0154",4,4,4,3,4,3,2,2,1,2,3,3,3,4,4,4,3,,2,4,3,3
"S0155",3,4,5,3,4,3,3,4,3,5,5,4,3,3,2,2,3,2,2,2,3,4
"S0156",4,3,3,2,4,3,2,2,3,3,4,3,4,4,2,2,3,3,,2,3,2
"S0157",4,2,3,3,3,3,3,3,3,3,4,3,2,1,2,1,1,2,3,3,3,3
"S0158",2,2,3,4,2,3,3,3,2,3,2,4,5,5,4,4,4,4,5,5,4,5
"S0159",1,1,1,4,2,1,1,2,1,1,2,3,4,5,5,5,5,4,3,3,3,3
"S0160",5,4,5,3,5,4,4,2,3,5,4,5,2,3,2,2,3,3,5,2,2,3
"S0161",3,4,3,3,2,3,3,3,,4,4,3,3,2,5,3,2,4,4,5,4,3
"S0162",3,4,2,3,4,4,3,5,2,4,4,4,2,3,2,2,3,4,1,3,3,3
"S0163",3,3,4,4,3,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4,5,4
"S0164",5,3,5,2,4,4,4,4,2,3,3,4,3,3,2,2,2,3,4,,3,3
"S0165",2,1,3,3,2,3,2,3,1,3,3,3,3,5,4,3,3,3,2,2,3,3
"S0166",3,2,2,4,3,4,2,3,1,2,3,2,3,5,5,4,4,4,3,4,4,2
"S0167",2,4,3,2,3,4,3,4,5,3,4,4,4,3,3,3,,4,2,3,2,4
"S0168",2,3,3,2,4,4,3,3,3,3,3,3,5,5,4,5,3,5,3,3,3,4
"S0169",2,3,3,4,2,2,2,3,3,4,3,2,4,4,5,2,3,5,3,5,5,4
"S0170",3,3,2,5,2,2,2,2,1,3,1,4,3,3,5,4,3,3,3,4,2,4
"S0171",1,2,1,4,2,3,1,1,1,2,2,2,2,4,3,4,4,2,4,4,2,5
"S0172",3,4,3,4,3,4,,3,2,4,2,4,3,3,3,2,2,4,3,4,3,2
"S0173",2,3,3,5,2,1,3,3,2,4,3,4,4,3,,3,3,3,1,3,3,2
"S0174",5,5,5,2,5,5,4,4,4,5,5,,3,3,2,2,3,2,3,3,4,2
"S0175",3,3,3,5,3,3,2,1,1,3,3,2,3,5,5,4,4,3,5,5,4,5
"S0176",4,3,4,1,4,3,4,5,4,5,5,5,2,3,3,3,2,3,5,3,2,2
"S0177",3,3,3,3,3,1,4,4,3,3,5,5,4,4,4,3,4,4,4,5,4,4
"S0178",2,3,4,4,3,4,3,2,3,3,3,3,3,3,3,2,3,4,5,4,4,5
"S0179",3,1,2,5,2,,1,3,3,3,3,3,2,2,4,2,2,2,4,5,5,5
"S0180",5,5,5,1,5,5,4,4,3,5,5,5,2,2,2,2,3,3,2,4,2,2
"S0181",1,1,1,4,3,2,2,,1,2,3,2,3,3,3,3,2,2,4,4,4,5
"S0182",3,2,3,3,3,3,3,3,2,4,3,3,2,3,3,3,2,3,2,2,1,2
"S0183",3,3,3,4,3,4,2,3,2,3,4,4,3,,5,3,3,3,2,2,4,3
"S0184",2,2,4,4,2,1,2,2,2,2,3,3,4,3,5,5,4,4,3,4,4,4
"S0185",3,1,1,4,2,2,,2,,3,2,2,3,5,5,3,4,2,4,,5,5
"S0186",3,3,4,3,3,3,2,3,3,3,4,3,3,3,2,1,2,2,,2,4,2
"S0187",4,3,4,2,4,3,2,2,3,2,4,3,2,4,3,3,2,2,3,3,2,2
"S0188",4,3,3,1,3,3,3,4,3,4,5,4,3,3,4,2,3,3,2,2,4,2
"S0189",4,4,4,3,4,4,4,3,3,4,3,5,2,4,3,3,2,4,2,2,3,4
"S0190",3,3,4,3,3,3,3,3,3,4,4,4,3,,5,4,3,4,2,2,3,2
"S0191",3,2,3,3,3,3,2,1,1,2,2,1,4,3,4,5,4,3,4,,3,3
"S0192",3,4,4,3,3,3,3,3,2,3,3,3,4,2,3,4,3,5,4,4,3,4
"S0193",1,4,2,3,2,3,1,2,,3,4,,4,4,3,4,4,2,4,4,2,2
"S0194",3,3,4,3,3,3,5,4,4,5,5,5,4,3,4,4,3,4,3,4,4,3
"S0195",2,4,4,2,3,4,4,2,2,3,5,4,3,4,4,3,4,4,4,4,3,4
"S0196",5,3,4,3,5,5,3,3,4,4,2,3,2,3,2,3,3,2,3,3,2,2
"S0197",4,2,2,3,2,2,3,4,2,3,3,3,3,5,5,5,4,4,4,3,3,3
"S0198",3,2,3,3,3,3,3,3,2,2,,3,2,,3,4,3,3,5,3,4,
"S0199",2,3,3,3,2,1,2,2,2,2,2,2,5,5,5,5,4,5,5,4,4,4
"S0200",5,4,4,2,5,2,4,3,5,4,4,5,3,4,3,3,2,3,2,5,3,3
"S0201",3,3,4,1,4,3,2,,4,4,2,4,2,2,3,1,3,2,3,3,3,3
"S0202",5,4,5,1,5,4,4,3,3,3,3,3,3,4,4,4,2,4,1,1,2,1
"S0203",4,4,3,3,4,4,4,3,3,3,3,3,2,3,,3,2,5,1,3,1,3
"S0204",4,5,4,3,5,3,3,4,3,,4,4,2,3,3,4,3,2,4,4,3,5
"S0205",4,4,3,4,,4,4,2,3,3,2,3,3,1,2,2,1,3,1,1,2,2
"S0206",5,4,4,3,,4,3,3,3,3,5,4,3,4,4,3,3,2,2,3,2,2
"S0207",,3,4,2,3,5,4,3,4,5,4,,2,4,3,2,3,3,2,2,2,2
"S0208",2,3,1,4,2,2,1,2,1,2,3,2,3,3,4,4,2,3,4,2,3,4
"S0209",4,2,3,2,5,4,3,2,4,3,3,3,4,4,3,,2,3,4,3,5,3
"S0210",2,3,3,4,3,3,2,2,2,3,3,1,5,2,5,4,4,5,2,4,3,3
"S0211",5,3,4,3,5,4,4,5,4,2,2,5,3,4,3,3,3,3,1,3,3,4
"S0212",4,4,5,3,4,4,3,3,3,3,3,2,4,4,4,3,3,3,3,3,2,3
"S0213",4,4,4,1,3,3,3,3,3,4,2,5,4,4,4,3,5,3,2,3,2,2
"S0214",4,3,3,,2,1,2,3,4,3,3,2,4,3,3,4,4,2,3,3,3,4
"S0215",3,4,4,2,3,2,3,3,2,4,3,2,4,4,3,4,5,3,3,2,4,3
"S0216",3,3,3,3,2,3,3,3,3,4,2,3,4,3,,5,3,4,4,3,3,3
"S0217",4,1,1,4,2,1,3,3,1,2,3,4,4,4,4,3,3,2,,3,3,4
"S0218",2,2,4,3,3,3,1,3,2,3,4,3,4,4,4,5,3,3,4,4,3,5
"S0219",3,2,,3,3,3,2,2,3,2,1,1,3,3,4,4,3,3,3,3,4,4
"S0220",3,5,,4,3,3,3,4,2,2,3,3,1,1,3,1,2,2,1,4,4,4
"S0221",3,3,2,3,3,2,2,1,2,1,,2,3,4,3,4,4,4,3,,4,4
"S0222",3,3,5,3,4,3,3,2,2,4,4,3,2,1,4,3,3,2,2,2,2,1
"S0223",3,4,3,2,4,4,2,4,3,2,5,3,5,3,5,4,5,3,3,4,4,3
"S0224",4,3,4,4,3,4,2,1,3,3,3,3,2,2,2,3,1,3,4,4,3,3
"S0225",3,3,3,2,4,3,4,2,2,1,2,3,4,3,3,4,2,4,2,2,3,2
"S0226",4,4,2,4,3,3,4,4,2,4,2,2,4,5,3,3,3,3,2,2,2,3
"S0227",3,4,4,3,3,4,2,3,1,1,1,2,3,5,4,4,5,4,4,3,4,4
"S0228",4,4,5,2,3,4,3,3,4,3,3,4,4,4,3,3,3,4,3,2,3,3
"S0229",4,2,4,3,4,5,3,4,3,4,5,4,3,3,5,2,1,3,2,3,2,3
"S0230",4,3,4,2,4,2,3,3,4,3,5,3,4,5,3,3,3,4,4,3,4,3
"S0231",2,2,3,4,3,2,2,2,3,2,4,2,4,4,4,4,4,3,3,4,4,4
"S0232",3,2,3,5,3,1,3,2,2,3,3,3,3,3,4,3,3,3,4,4,2,4
"S0233",2,1,3,3,3,1,1,2,1,2,3,1,3,4,4,5,3,2,4,3,3,3
"S0234",3,2,4,4,2,,3,3,3,3,1,4,3,3,3,4,,3,3,4,3,3
"S0235",3,4,2,3,4,3,2,3,3,3,4,4,4,3,3,3,3,2,3,3,2,3
"S0236",2,3,3,4,2,2,2,3,1,3,4,3,3,3,4,3,3,3,3,3,4,2
"S0237",3,2,3,4,3,3,2,2,3,3,4,3,4,3,5,4,3,5,2,3,2,2
"S0238",2,3,3,3,3,2,2,3,4,3,4,2,3,3,3,3,2,3,3,3,4,4
"S0239",5,3,3,2,4,3,2,4,2,3,3,2,2,1,3,3,1,3,2,3,4,4
"S0240",4,4,4,2,4,5,4,4,4,4,4,4,3,4,1,4,2,2,2,2,,2
"S0241",5,4,4,2,5,4,4,5,5,4,5,4,4,5,4,4,4,3,2,3,4,3
"S0242",3,4,3,3,3,2,3,2,2,4,4,3,2,2,2,3,2,4,3,4,3,4
"S0243",3,2,1,3,1,2,1,2,1,3,3,1,4,,5,3,3,2,3,4,4,
"S0244",4,3,3,3,3,3,1,2,3,3,2,2,3,4,3,2,3,4,3,3,5,3
"S0245",4,3,4,4,4,4,3,3,3,4,3,4,3,4,3,4,4,4,2,1,3,3
"S0246",3,4,5,2,5,3,4,4,3,4,4,4,2,2,4,4,3,2,3,3,3,3
"S0247",3,4,2,3,3,3,2,2,2,3,3,3,2,2,4,3,3,2,2,4,2,3
"S0248",3,4,5,2,4,2,3,4,2,3,3,4,2,3,3,3,3,3,2,1,1,2
"S0249",3,5,3,3,3,5,4,4,4,4,2,3,3,4,4,3,4,4,2,2,2,3
"S0250",4,4,4,2,4,3,3,4,4,3,,2,2,4,4,4,3,3,,3,3,2
"S0251",3,3,4,2,3,4,3,1,4,3,4,4,2,3,4,4,3,3,3,3,2,3
"S0252",4,2,3,3,3,4,3,4,3,5,3,3,,5,4,4,4,,4,3,4,4
"S0253",3,2,4,4,2,3,4,3,4,3,2,3,4,3,3,3,3,4,3,3,4,3
"S0254",3,3,3,3,2,3,2,2,2,2,4,2,4,4,2,3,3,4,4,4,2,5
"S0255",5,4,5,3,4,3,4,,3,3,4,3,3,3,3,2,3,3,2,2,3,4
"S0256",3,3,4,2,4,5,4,4,3,3,4,3,2,3,3,4,2,3,2,2,4,2
"S0257",3,5,3,2,3,3,2,2,3,2,3,3,3,4,4,3,2,,2,3,4,3
"S0258",3,3,2,3,2,3,4,4,3,3,3,3,3,4,3,4,3,3,2,4,2,4
"S0259",3,4,5,2,5,4,5,2,3,3,3,4,2,2,3,2,3,3,2,1,,2
"S0260",3,3,4,4,3,1,1,1,1,1,1,2,3,4,3,4,3,4,3,2,4,3
"S0261",2,2,3,4,3,3,2,4,2,4,2,2,4,4,2,3,4,4,4,5,5,3
"S0262",3,3,3,3,3,2,2,2,3,3,4,5,4,3,3,4,3,4,3,4,3,3
"S0263",4,3,3,3,3,3,1,4,3,3,4,3,2,2,2,2,2,3,3,4,3,3
"S0264",3,1,2,4,2,2,2,4,2,3,3,,4,5,5,5,5,3,4,3,4,3
"S0265",5,3,3,2,4,4,2,,3,3,4,5,,1,2,3,2,2,4,3,3,3
"S0266",3,4,4,3,3,2,4,3,3,4,4,,3,3,2,2,1,2,2,2,3,3
"S0267",3,3,4,2,4,4,4,5,,5,4,4,4,4,,5,5,5,1,3,3,3
"S0268",4,2,3,3,4,3,1,3,3,2,2,1,4,4,5,4,4,4,3,4,5,5
"S0269",4,4,3,2,4,3,3,4,3,3,3,3,1,2,2,1,1,2,1,3,1,1
"S0270",5,5,3,4,3,4,5,4,3,3,5,4,2,2,3,3,1,1,3,2,3,2
"S0271",3,4,3,,4,3,2,3,,4,3,3,2,2,2,1,3,3,3,3,2,2
"S0272",3,3,4,4,2,4,2,3,1,2,3,4,,3,2,3,1,2,2,3,4,2
"S0273",4,4,5,3,4,5,2,3,,4,2,3,3,2,2,2,1,3,2,4,3,3
"S0274",4,3,3,4,5,4,4,3,2,3,4,3,3,4,4,3,3,4,4,2,3,4
"S0275",5,4,4,2,4,4,4,4,3,,4,5,2,4,3,2,2,3,5,4,,3
"S0276",4,3,4,2,4,3,3,4,3,4,4,3,2,3,4,3,2,1,2,3,5,1
"S0277",3,2,2,4,3,3,3,3,1,2,2,3,4,4,4,5,3,5,4,3,,3
"S0278",5,4,5,3,5,3,2,3,4,4,4,4,3,3,3,4,2,3,2,4,3,3
"S0279",4,4,5,3,5,4,4,3,4,3,3,3,2,4,4,3,3,3,3,4,2,5
"S0280",2,1,,5,2,3,1,2,1,1,1,3,4,4,5,3,3,4,4,5,5,4
"S0281",4,3,4,4,5,3,4,4,4,4,2,5,4,4,4,5,5,5,2,2,3,2
"S0282",3,2,3,5,3,1,1,2,2,2,2,3,2,2,2,,2,2,1,2,4,4
"S0283",3,3,3,4,3,4,4,3,3,3,3,4,3,2,3,4,3,3,2,4,3,
